Account,Header,Description,Task Length,Delay,Start,Launched,Status,Civil,Mech,Elect
A.215.23,Primary aux building,Safety HVAC,51.33416489,2.876315047,16,FALSE,0,0,1,0
A.215.24,Primary aux building,Lighting & Service power,22.53125006,9.986459733,16,FALSE,0,0,0,1
A.215.25,Primary aux building,Elevator,8.816900453,24.04299399,16,FALSE,0,0,1,0
A.216.13,Waste process building,Substructure,3.975161585,2.076940869,10,FALSE,0,1,0,0
A.216.141,Waste process building,Superstructure concrete,8.69290649,2.291905898,15,FALSE,0,1,0,0
A.216.142,Waste process building,Structural & Misc steel,38.28452753,0.402767266,20,FALSE,0,1,0,0
A.216.143,Waste process building,Exterior walls,20.16468868,17.79906458,23,FALSE,0,1,0,0
A.216.144,Waste process building,Roofing,12.32830752,12.60840962,23,FALSE,0,1,0,0
A.216.145,Waste process building,Roofing,12.06647988,25.47913613,23,FALSE,0,1,0,0
A.216.146,Waste process building,Interior walls,7.385887628,15.54292971,23,FALSE,0,1,0,0
A.216.147,Waste process building,Doors/windows,25.78546084,5.736834666,40,FALSE,0,1,0,0
A.216.148,Waste process building,Finishing,40.77756062,22.65238463,23,FALSE,0,1,0,0
A.216.149,Waste process building,Painting,6.726369922,19.23073673,23,FALSE,0,1,0,0
A.216.21,Waste process building,Plumbing & Drains,15.08349976,9.435689922,23,FALSE,0,0,1,0
A.216.22,Waste process building,HVAC,52.64447577,0.459622316,23,FALSE,0,0,1,0
A.216.24,Waste process building,Lighting & Service power,14.69295208,31.66632871,23,FALSE,0,0,0,1
A.216.25,Waste process building,Elevator,18.87310198,24.38113919,23,FALSE,0,0,1,0
A.217.13,Fuel storage building,Substructure,1.493580856,0.561140869,10,FALSE,0,1,0,0
A.217.141,Fuel storage building,Superstructure concrete,10.42256147,9.93690909,17,FALSE,0,1,0,0
A.217.142,Fuel storage building,Structural & Misc steel,1.063700028,12.94605253,23,FALSE,0,1,0,0
A.217.145,Fuel storage building,Roofing,3.242675534,1.307294718,27,FALSE,0,1,0,0
A.217.147,Fuel storage building,Doors/windows,58.29469161,6.846673986,32,FALSE,0,1,0,0
A.217.149,Fuel storage building,Painting,10.62594911,7.258930305,27,FALSE,0,1,0,0
A.217.21,Fuel storage building,Plumbing & Drains,6.379102463,11.9851392,27,FALSE,0,1,0,0
A.217.22,Fuel storage building,HVAC,48.56854358,9.284099844,27,FALSE,0,0,1,0
A.217.23,Fuel storage building,Safety HVAC,48.24715261,1.661110436,27,FALSE,0,0,1,0
A.217.24,Fuel storage building,Lighting & Service power,42.6154144,21.78453519,27,FALSE,0,0,0,1
A.217.3,Fuel storage building,Spent fuel pool liner,43.32947703,6.380347511,25,FALSE,0,1,0,0
A.218A.13,CR/DG building,Substructure,2.289153322,0.971497977,10,FALSE,0,1,0,0
A.218A.141,CR/DG building,Superstructure concrete,10.15546288,8.320947013,12,FALSE,0,1,0,0
A.218A.142,CR/DG building,Structural & Misc steel,19.2615135,14.81539841,16,FALSE,0,1,0,0
A.218A.145,CR/DG building,Roofing,2.974390053,4.866828603,19,FALSE,0,1,0,0
A.218A.146,CR/DG building,Interior walls,8.090227734,2.957488837,19,FALSE,0,1,0,0
A.218A.147,CR/DG building,Doors/windows,6.176818807,2.132914218,23,FALSE,0,1,0,0
A.218A.148,CR/DG building,Finishing,6.47540099,21.20202199,19,FALSE,0,1,0,0
A.218A.149,CR/DG building,Painting,24.93899833,7.1159514,19,FALSE,0,1,0,0
A.218A.21,CR/DG building,Plumbing & Drains,36.8757949,3.079274976,19,FALSE,0,0,1,0
A.218A.231,CR/DG building,Safety HVAC - Safety HVAC - Rotating Machinery,19.84547871,11.74071029,19,FALSE,0,0,1,0
A.218A.232,CR/DG building,Safety HVAC - Heat Transfer Equipment,43.35114535,23.36582988,19,FALSE,0,0,1,0
A.218A.233,CR/DG building,Safety HVAC - Tanks & Pressure Vessels,30.65944429,5.350302776,19,FALSE,0,0,1,0
A.218A.234,CR/DG building,Safety HVAC - Purification & Filtration Equipment,15.49897338,8.134861761,19,FALSE,0,0,1,0
A.218A.235,CR/DG building,Safety HVAC - Piping & Ductwork,40.78655082,21.23936716,19,FALSE,0,0,1,0
A.218A.236,CR/DG building,Safety HVAC - Valves & Dampers,5.044521993,21.13298664,19,FALSE,0,0,1,0
