,Account,Header,Description,Task Length,Delay,Start,Launched,Status,Civil,Mech,Elect,Dependency 1,Fraction 1,Building,Parallelism,Hours
0,A.211.,Yardwork,Yardwork,13.28922318,0.162785401,0.0,False,0.0,1.0,0.0,0,None,0.0,A.211.,1.0,1173258.997
1,A.212.13,Reactor building,Substructure,4.145657392,0.126174356,6.0,False,0.0,1.0,0.0,0,A.211.,0.5,A.212.,1.0,87061.50091
2,A.212.140,Reactor building,Interior concrete,59.2761471,20.36277195,16.0,False,0.0,1.0,0.0,0,A.212.141,0.5,A.212.,3.0,93924.6289
3,A.212.141,Reactor building,Superstructure concrete,15.27839236,0.403028954,10.0,False,0.0,1.0,0.0,0,A.212.13,0.9,A.212.,3.0,199109.628
4,A.212.142,Reactor building,Structural & Misc steel,10.23957991,0.372136078,16.0,False,0.0,1.0,0.0,0,A.212.141,0.5,A.212.,3.0,6022.751742
5,A.212.149,Reactor building,Painting,50.78901221,7.440078018,20.0,False,0.0,1.0,0.0,0,A.212.141,0.9,A.212.,3.0,38870.95068
6,A.212.15,Reactor building,Containment liner,37.12244157,0.4766125,21.0,False,0.0,1.0,0.0,0,A.212.141,1.0,A.212.,3.0,92298.72958
7,A.212.21,Reactor building,Plumbing & Drains,11.03256135,20.40482643,21.0,False,0.0,0.0,1.0,0,A.212.141,1.0,A.212.,3.0,2074.265998
8,A.212.22,Reactor building,HVAC,40.83920929,25.03938073,21.0,False,0.0,0.0,1.0,0,A.212.141,1.0,A.212.,3.0,709.1363591
9,A.212.23,Reactor building,Safety HVAC,57.72612609,7.596990685,21.0,False,0.0,0.0,1.0,0,A.212.141,1.0,A.212.,3.0,40559.51655
10,A.212.24,Reactor building,Lighting & Service power,21.01041136,6.940433612,21.0,False,0.0,0.0,0.0,1,A.212.141,1.0,A.212.,3.0,6797.688195
11,A.212.25,Reactor building,Elevator,47.72398839,20.66688978,21.0,False,0.0,0.0,1.0,0,A.212.141,1.0,A.212.,3.0,1103.615155
12,A.212.3,Reactor building,Passive cooling pool,28.38519455,15.54501725,21.0,False,0.0,1.0,0.0,0,A.212.141,1.0,A.212.,3.0,185004.2768
13,A.219.,Reactor building,Shield building,18.08778545,33.90095983,0.0,False,0.0,1.0,0.0,0,A.212.141,1.0,A.212.,3.0,0.0
14,A.213.13,Turbine generator building,Substructure,12.42451295,2.392280517,10.0,False,0.0,1.0,0.0,0,A.211.,0.9,A.213.,1.0,1742814.295
15,A.213.141,Turbine generator building,Superstructure concrete,1.615654259,1.884706534,18.0,False,0.0,1.0,0.0,0,A.213.13,0.9,A.213.,1.0,38839.0919
16,A.213.142,Turbine generator building,Structural & Misc steel,11.88273111,5.742784137,20.0,False,0.0,1.0,0.0,0,A.213.141,0.5,A.213.,1.0,689511.3962
17,A.213.143,Turbine generator building,Exterior walls,41.1043925,0.631131562,20.0,False,0.0,1.0,0.0,0,A.213.141,0.9,A.213.,1.0,48925.21266
18,A.213.144,Turbine generator building,Roofing,44.41582476,25.00599227,20.0,False,0.0,1.0,0.0,0,A.213.141,0.9,A.213.,1.0,26861.90686
19,A.213.145,Turbine generator building,Roofing,15.37882699,32.14718834,20.0,False,0.0,1.0,0.0,0,A.213.141,0.9,A.213.,1.0,11873.09852
20,A.213.146,Turbine generator building,Interior walls,10.73208825,15.35883002,20.0,False,0.0,1.0,0.0,0,A.213.141,0.9,A.213.,1.0,20792.97612
21,A.213.147,Turbine generator building,Doors/windows,21.54559721,15.13291446,36.0,False,0.0,1.0,0.0,0,A.213.146,0.9,A.213.,1.0,27255.10692
22,A.213.149,Turbine generator building,Painting,16.18603696,7.665951298,37.0,False,0.0,1.0,0.0,0,A.213.143,0.9,A.213.,1.0,57075.8305
23,A.213.21,Turbine generator building,Plumbing & Drains,3.255178948,1.948357486,20.0,False,0.0,1.0,0.0,0,A.213.141,1.0,A.213.,1.0,164305.2819
24,A.213.22,Turbine generator building,HVAC,27.51418642,4.235955029,20.0,False,0.0,0.0,1.0,0,A.213.141,1.0,A.213.,1.0,35208.76035
25,A.213.24,Turbine generator building,Lighting & Service power,51.21686455,3.085846191,20.0,False,0.0,0.0,0.0,1,A.213.141,1.0,A.213.,1.0,61155.81211
26,A.213.25,Turbine generator building,Elevator,19.23192127,24.44017591,20.0,False,0.0,0.0,1.0,0,A.213.141,1.0,A.213.,1.0,1766.679294
27,A.214.,Security building,Security building,37.25264558,18.10139823,10.0,False,0.0,1.0,0.0,0,A.211.,0.9,A.214.,1.0,62706.00001
28,A.215.13,Primary aux building,Substructure,1.499358741,0.323280393,6.0,False,0.0,1.0,0.0,0,A.211.,0.5,A.215.,1.0,286147.6847
29,A.215.141,Primary aux building,Superstructure concrete,17.47660806,0.341756678,8.0,False,0.0,1.0,0.0,0,A.215.13,0.9,A.215.,2.0,2152913.652
30,A.215.142,Primary aux building,Structural & Misc steel,25.34142777,12.95550567,13.0,False,0.0,1.0,0.0,0,A.215.141,0.5,A.215.,2.0,173413.7659
31,A.215.145,Primary aux building,Roofing,10.62693214,21.23307539,16.0,False,0.0,1.0,0.0,0,A.215.141,0.9,A.215.,2.0,2728.795439
32,A.215.146,Primary aux building,Interior walls,39.33898089,22.87078326,16.0,False,0.0,1.0,0.0,0,A.215.141,0.9,A.215.,2.0,21186.29719
33,A.215.147,Primary aux building,Doors/windows,6.820966152,0.851900875,35.0,False,0.0,1.0,0.0,0,A.215.146,0.9,A.215.,2.0,7258.268483
34,A.215.149,Primary aux building,Painting,9.214430226,24.52165536,16.0,False,0.0,1.0,0.0,0,A.215.141,0.9,A.215.,2.0,35123.65269
35,A.215.21,Primary aux building,Plumbing & Drains,17.65131475,7.013833846,16.0,False,0.0,1.0,0.0,0,A.215.141,1.0,A.215.,2.0,136376.9797
36,A.215.221,Primary aux building,Safety HVAC - Safety HVAC - Rotating Machinery,42.57990725,26.26202135,16.0,False,0.0,0.0,1.0,0,A.215.141,1.0,A.215.,2.0,6902.283436
37,A.215.222,Primary aux building,Safety HVAC - Heat Transfer Equipment,4.691269878,26.90849283,16.0,False,0.0,0.0,1.0,0,A.215.141,1.0,A.215.,2.0,6848.077021
38,A.215.223,Primary aux building,Safety HVAC - Tanks & Pressure Vessels,26.08323729,1.81380706,16.0,False,0.0,0.0,1.0,0,A.215.141,1.0,A.215.,2.0,614.3393634
39,A.215.224,Primary aux building,Safety HVAC - Purification & Filtration Equipment,43.3225655,3.988275303,16.0,False,0.0,0.0,1.0,0,A.215.141,1.0,A.215.,2.0,1897.224505
40,A.215.225,Primary aux building,Safety HVAC - Piping & Ductwork,23.39229828,2.800229658,16.0,False,0.0,0.0,1.0,0,A.215.141,1.0,A.215.,2.0,443217.3372
41,A.215.226,Primary aux building,Safety HVAC - Valves & Dampers,15.38921202,26.43031346,16.0,False,0.0,0.0,1.0,0,A.215.141,1.0,A.215.,2.0,9690.769267
42,A.215.227,Primary aux building,Safety HVAC - Piping & Miscellaneous Items,23.78603208,17.44189994,16.0,False,0.0,0.0,1.0,0,A.215.141,1.0,A.215.,2.0,0.0
43,A.215.228,Primary aux building,Safety HVAC - Instrumentation & Control,57.02221047,2.011478732,16.0,False,0.0,0.0,0.0,1,A.215.141,1.0,A.215.,2.0,361.3760961
44,A.215.23,Primary aux building,Safety HVAC,51.33416489,2.876315047,16.0,False,0.0,0.0,1.0,0,A.215.141,1.0,A.215.,2.0,7968.342919
45,A.215.24,Primary aux building,Lighting & Service power,22.53125006,9.986459733,16.0,False,0.0,0.0,0.0,1,A.215.141,1.0,A.215.,2.0,117701.651
46,A.215.25,Primary aux building,Elevator,8.816900453,24.04299399,16.0,False,0.0,0.0,1.0,0,A.215.141,1.0,A.215.,2.0,3031.701546
47,A.216.13,Waste process building,Substructure,3.975161585,2.076940869,10.0,False,0.0,1.0,0.0,0,A.211.,0.9,A.216.,1.0,196266.3482
48,A.216.141,Waste process building,Superstructure concrete,8.69290649,2.291905898,15.0,False,0.0,1.0,0.0,0,A.216.13,0.9,A.216.,2.0,578375.03
49,A.216.142,Waste process building,Structural & Misc steel,38.28452753,0.402767266,20.0,False,0.0,1.0,0.0,0,A.216.141,0.5,A.216.,2.0,56406.95741
50,A.216.143,Waste process building,Exterior walls,20.16468868,17.79906458,23.0,False,0.0,1.0,0.0,0,A.216.141,0.9,A.216.,2.0,7375.043273
51,A.216.144,Waste process building,Roofing,12.32830752,12.60840962,23.0,False,0.0,1.0,0.0,0,A.216.141,0.9,A.216.,2.0,9167.268833
52,A.216.145,Waste process building,Roofing,12.06647988,25.47913613,23.0,False,0.0,1.0,0.0,0,A.216.141,0.9,A.216.,2.0,3577.992634
53,A.216.146,Waste process building,Interior walls,7.385887628,15.54292971,23.0,False,0.0,1.0,0.0,0,A.216.141,0.9,A.216.,2.0,115.9000374
54,A.216.147,Waste process building,Doors/windows,25.78546084,5.736834666,40.0,False,0.0,1.0,0.0,0,A.216.146,0.9,A.216.,2.0,1681.686817
55,A.216.148,Waste process building,Finishing,40.77756062,22.65238463,23.0,False,0.0,1.0,0.0,0,A.216.141,0.9,A.216.,2.0,318.1569654
56,A.216.149,Waste process building,Painting,6.726369922,19.23073673,23.0,False,0.0,1.0,0.0,0,A.216.141,0.9,A.216.,2.0,9668.011272
57,A.216.21,Waste process building,Plumbing & Drains,15.08349976,9.435689922,23.0,False,0.0,0.0,1.0,0,A.216.141,1.0,A.216.,2.0,32429.28496
58,A.216.22,Waste process building,HVAC,52.64447577,0.459622316,23.0,False,0.0,0.0,1.0,0,A.216.141,1.0,A.216.,2.0,51463.42821
59,A.216.24,Waste process building,Lighting & Service power,14.69295208,31.66632871,23.0,False,0.0,0.0,0.0,1,A.216.141,1.0,A.216.,2.0,22725.49753
60,A.216.25,Waste process building,Elevator,18.87310198,24.38113919,23.0,False,0.0,0.0,1.0,0,A.216.141,1.0,A.216.,2.0,3136.650473
61,A.217.13,Fuel storage building,Substructure,1.493580856,0.561140869,10.0,False,0.0,1.0,0.0,0,A.211.,0.9,A.215.,1.0,0.0
62,A.217.141,Fuel storage building,Superstructure concrete,10.42256147,9.93690909,17.0,False,0.0,1.0,0.0,0,A.215.13,0.9,A.215.,1.0,0.0
63,A.217.142,Fuel storage building,Structural & Misc steel,1.063700028,12.94605253,23.0,False,0.0,1.0,0.0,0,A.215.141,0.5,A.215.,1.0,0.0
64,A.217.145,Fuel storage building,Roofing,3.242675534,1.307294718,27.0,False,0.0,1.0,0.0,0,A.215.141,0.9,A.215.,1.0,0.0
65,A.217.147,Fuel storage building,Doors/windows,58.29469161,6.846673986,32.0,False,0.0,1.0,0.0,0,A.215.145,0.9,A.215.,1.0,0.0
66,A.217.149,Fuel storage building,Painting,10.62594911,7.258930305,27.0,False,0.0,1.0,0.0,0,A.215.141,0.9,A.215.,1.0,0.0
67,A.217.21,Fuel storage building,Plumbing & Drains,6.379102463,11.9851392,27.0,False,0.0,1.0,0.0,0,A.215.141,1.0,A.215.,1.0,0.0
68,A.217.22,Fuel storage building,HVAC,48.56854358,9.284099844,27.0,False,0.0,0.0,1.0,0,A.215.141,1.0,A.215.,1.0,25047.42118
69,A.217.23,Fuel storage building,Safety HVAC,48.24715261,1.661110436,27.0,False,0.0,0.0,1.0,0,A.215.141,1.0,A.215.,1.0,2913.48724
70,A.217.24,Fuel storage building,Lighting & Service power,42.6154144,21.78453519,27.0,False,0.0,0.0,0.0,1,A.215.141,1.0,A.215.,1.0,0.0
71,A.217.3,Fuel storage building,Spent fuel pool liner,43.32947703,6.380347511,25.0,False,0.0,1.0,0.0,0,A.215.142,1.0,A.215.,1.0,112149.3069
72,A.218A.13,CR/DG building,Substructure,2.289153322,0.971497977,10.0,False,0.0,1.0,0.0,0,A.211.,0.9,A.218A.,1.0,46547.32253
73,A.218A.141,CR/DG building,Superstructure concrete,10.15546288,8.320947013,12.0,False,0.0,1.0,0.0,0,A.218A.13,0.9,A.218A.,1.0,655790.6348
74,A.218A.142,CR/DG building,Structural & Misc steel,19.2615135,14.81539841,16.0,False,0.0,1.0,0.0,0,A.218A.141,0.5,A.218A.,1.0,47818.77776
75,A.218A.145,CR/DG building,Roofing,2.974390053,4.866828603,19.0,False,0.0,1.0,0.0,0,A.218A.141,0.9,A.218A.,1.0,1815.21592
76,A.218A.146,CR/DG building,Interior walls,8.090227734,2.957488837,19.0,False,0.0,1.0,0.0,0,A.218A.141,0.9,A.218A.,1.0,36887.68016
77,A.218A.147,CR/DG building,Doors/windows,6.176818807,2.132914218,23.0,False,0.0,1.0,0.0,0,A.218A.146,0.9,A.218A.,1.0,1434.563333
78,A.218A.148,CR/DG building,Finishing,6.47540099,21.20202199,19.0,False,0.0,1.0,0.0,0,A.218A.141,0.9,A.218A.,1.0,3833.141003
79,A.218A.149,CR/DG building,Painting,24.93899833,7.1159514,19.0,False,0.0,1.0,0.0,0,A.218A.141,0.9,A.218A.,1.0,10231.94028
80,A.218A.21,CR/DG building,Plumbing & Drains,36.8757949,3.079274976,19.0,False,0.0,0.0,1.0,0,A.218A.141,1.0,A.218A.,1.0,35902.27723
81,A.218A.231,CR/DG building,Safety HVAC - Safety HVAC - Rotating Machinery,19.84547871,11.74071029,19.0,False,0.0,0.0,1.0,0,A.218A.141,1.0,A.218A.,1.0,2322.800422
82,A.218A.232,CR/DG building,Safety HVAC - Heat Transfer Equipment,43.35114535,23.36582988,19.0,False,0.0,0.0,1.0,0,A.218A.141,1.0,A.218A.,1.0,3932.460363
83,A.218A.233,CR/DG building,Safety HVAC - Tanks & Pressure Vessels,30.65944429,5.350302776,19.0,False,0.0,0.0,1.0,0,A.218A.141,1.0,A.218A.,1.0,163.0035383
84,A.218A.234,CR/DG building,Safety HVAC - Purification & Filtration Equipment,15.49897338,8.134861761,19.0,False,0.0,0.0,1.0,0,A.218A.141,1.0,A.218A.,1.0,1528.158172
85,A.218A.235,CR/DG building,Safety HVAC - Piping & Ductwork,40.78655082,21.23936716,19.0,False,0.0,0.0,1.0,0,A.218A.141,1.0,A.218A.,1.0,113438.974
86,A.218A.236,CR/DG building,Safety HVAC - Valves & Dampers,5.044521993,21.13298664,19.0,False,0.0,0.0,1.0,0,A.218A.141,1.0,A.218A.,1.0,2574.269666
87,A.218A.237,CR/DG building,Safety HVAC - Piping & Miscellaneous Items,55.14229194,10.84408014,19.0,False,0.0,0.0,1.0,0,A.218A.141,1.0,A.218A.,1.0,0.0
88,A.218A.238,CR/DG building,Safety HVAC - Instrumentation & Control,48.19713243,13.19799077,19.0,False,0.0,0.0,0.0,1,A.218A.141,1.0,A.218A.,1.0,1324.403749
89,A.218A.24,CR/DG building,Lighting & Service power,10.75075853,26.93727178,19.0,False,0.0,0.0,0.0,1,A.218A.141,1.0,A.218A.,1.0,30555.12956
90,A.218B.13,Admin building,Substructure,5.642668409,4.255372202,10.0,False,0.0,1.0,0.0,0,A.211.,0.9,A.218B.,1.0,38835.49711
91,A.218B.141,Admin building,Superstructure concrete,12.0524786,1.090580721,12.0,False,0.0,1.0,0.0,0,A.218B.13,0.9,A.218B.,1.0,15188.70544
92,A.218B.142,Admin building,Structural & Misc steel,26.15795933,17.21498387,14.0,False,0.0,1.0,0.0,0,A.218B.141,0.5,A.218B.,1.0,25818.86617
93,A.218B.143,Admin building,Exterior walls,37.94472732,18.78659525,14.0,False,0.0,1.0,0.0,0,A.218B.141,0.9,A.218B.,1.0,7951.971781
