Account,Dependency 1,Fraction 1,Building,Parallelism,Hours run0_unit0,Hours run0_unit1,Hours run0_unit2,Hours run0_unit3,Hours run0_unit4,Hours run0_unit5,Hours run0_unit6,Hours run0_unit7,Hours run0_unit8,Hours run0_unit9
A.215.147,A.215.146,0.9,A.215.,2,1495.63943,1299.710664,1197.224342,1129.448567,1079.531232,1040.387953,1008.402178,981.4908049,958.3500519,938.112641
A.215.149,A.215.141,0.9,A.215.,2,14471.32204,12575.57885,11583.95444,10928.17802,10445.19408,10066.45641,9756.972424,9496.586702,9272.684281,9076.873657
A.215.21,A.215.141,1,A.215.,2,28101.8522,24420.50956,22494.87466,21221.42281,20283.51656,19548.04608,18947.05931,18441.41642,18006.62043,17626.37589
A.215.221,A.215.141,1,A.215.,2,6176.586616,5367.453769,4944.212957,4664.317326,4458.172224,4296.52106,4164.428455,4053.291756,3957.7267,3874.151663
A.215.222,A.215.141,1,A.215.,2,6128.079391,5325.300991,4905.384059,4627.686561,4423.1604,4262.778748,4131.723519,4021.459621,3926.645077,3843.726388
A.215.223,A.215.141,1,A.215.,2,549.748547,477.7314873,440.0608391,415.1486625,396.8006692,382.4128692,370.6559358,360.7641877,352.2583974,344.8197815
A.215.224,A.215.141,1,A.215.,2,1697.752866,1475.347241,1359.011415,1282.076752,1225.413831,1180.98092,1144.672743,1114.124698,1087.856816,1064.88462
A.215.225,A.215.141,1,A.215.,2,91329.40273,79365.25097,73107.04835,68968.40309,65920.26176,63530.02501,61576.85258,59933.54229,58520.48035,57284.70747
A.215.226,A.215.141,1,A.215.,2,1996.880751,1735.289373,1598.456283,1507.966465,1441.320077,1389.05851,1346.353178,1310.422858,1279.526825,1252.507147
A.215.227,A.215.141,1,A.215.,2,0,0,0,0,0,0,0,0,0,0
A.215.228,A.215.141,1,A.215.,2,323.3814982,281.0185219,258.8593171,244.2050956,233.4121583,224.9487466,218.0329034,212.214228,207.210822,202.8351656
A.215.23,A.215.141,1,A.215.,2,7130.562036,6196.458409,5707.847943,5384.722357,5146.738091,4960.119862,4807.62552,4679.323729,4568.998625,4472.515401
A.215.24,A.215.141,1,A.215.,2,24253.61236,21076.38914,19414.44878,18315.38216,17505.91187,16871.15599,16352.46775,15916.0671,15540.81165,15212.63741
A.215.25,A.215.141,1,A.215.,2,3031.701546,2634.548643,2426.806098,2289.422771,2188.238984,2108.894499,2044.05847,1989.508388,1942.601456,1901.579677
A.216.13,A.211.,0.9,A.216.,1,65417.90967,56848.1635,52365.50488,49401.05408,47217.71521,45505.62374,44106.59502,42929.516,41917.36049,41032.19452
A.216.141,A.216.13,0.9,A.216.,2,474710.5878,412523.5008,379994.7099,358482.9222,342639.3393,330215.4029,320063.2328,311521.6594,304176.8674,297753.5858
A.216.142,A.216.141,0.5,A.216.,2,40976.21126,35608.32759,32800.49763,30943.63667,29576.04552,28503.63244,27627.31437,26890.02027,26256.03031,25701.58355
A.216.143,A.216.141,0.9,A.216.,2,9079.777685,7890.326808,7268.149428,6856.693996,6553.654177,6316.021853,6121.841546,5958.467083,5817.983428,5695.12548
A.216.144,A.216.141,0.9,A.216.,2,6365.749591,5531.836395,5095.63349,4807.165827,4594.707365,4428.105502,4291.967455,4177.427104,4078.935291,3992.8007
A.216.145,A.216.141,0.9,A.216.,2,2484.557349,2159.080336,1988.82998,1876.240812,1793.318098,1728.293253,1675.15846,1630.453266,1592.011829,1558.393427
A.216.146,A.216.141,0.9,A.216.,2,84.19430217,73.16484859,67.39556742,63.58025342,60.77024782,58.56674809,56.76616706,55.25124022,53.94857361,52.80934536
A.216.147,A.216.146,0.9,A.216.,2,1221.642816,1061.607607,977.8964686,922.5370106,881.7643803,849.7920312,823.6659536,801.6846622,782.783225,766.2532465
A.216.148,A.216.141,0.9,A.216.,2,231.1216138,200.8446824,185.00744,174.534029,166.8202881,160.7714653,155.8286939,151.6700712,148.0941236,144.9668304
A.216.149,A.216.141,0.9,A.216.,2,11902.76311,10343.50114,9527.883158,8988.502493,8591.244839,8279.730465,8025.177735,7811.008666,7626.847366,7465.791765
A.216.21,A.216.141,1,A.216.,2,23557.89592,20471.81155,18857.54406,17790.00424,17003.75365,16387.20579,15883.39615,15459.51368,15095.02246,14776.26192
A.216.22,A.216.141,1,A.216.,2,46052.63241,40019.73757,36864.05389,34777.15195,33240.13398,32034.86283,31049.98032,30221.34504,29508.81195,28885.67643
A.216.24,A.216.141,1,A.216.,2,16508.6867,14346.04874,13214.81714,12466.71636,11915.73487,11483.6761,11130.62099,10833.57651,10578.15169,10354.7736
A.216.25,A.216.141,1,A.216.,2,3136.650473,2725.749261,2510.815257,2368.676108,2263.989625,2181.898458,2114.817989,2058.379538,2009.848821,1967.406984
A.217.13,A.211.,0.9,A.215.,1,24829.43256,21576.7769,19875.37937,18750.21912,17921.53069,17271.70467,16740.70193,16293.94042,15909.77579,15573.81017
A.217.141,A.217.13,0.9,A.215.,1,182969.4535,159000.4551,146462.7632,138171.3955,132064.7448,127276.1412,123363.1528,120070.9426,117240.0124,114764.2633
A.217.142,A.217.141,0.5,A.215.,1,12269.02165,10661.77981,9821.064542,9265.086657,8855.605034,8534.505087,8272.119545,8051.360305,7861.532199,7695.520774
A.217.145,A.217.141,0.9,A.215.,1,972.3199656,844.9460501,778.3193649,734.2581175,701.8066989,676.3595281,655.5654739,638.0703041,623.0264268,609.8700214
A.217.147,A.217.145,0.9,A.215.,1,467.7564503,406.4803553,374.4280856,353.2314288,337.6199419,325.3780064,315.3745576,306.9581116,299.7209151,293.3917295
A.217.149,A.217.141,0.9,A.215.,1,3045.784624,2646.786838,2438.079272,2300.057762,2198.40395,2118.690888,2053.553677,1998.750196,1951.625368,1910.413032
A.217.21,A.217.141,1,A.215.,1,6517.917751,5664.070525,5217.440538,4922.077286,4704.540174,4533.955827,4394.563508,4277.285162,4176.438981,4088.245411
A.217.22,A.217.141,1,A.215.,1,22413.96892,19477.73899,17941.85728,16926.15518,16178.08344,15591.47398,15112.12839,14708.82885,14362.03663,14058.75451
A.217.23,A.217.141,1,A.215.,1,2607.1671,2265.62821,2086.976215,1968.830915,1881.81607,1813.582331,1757.825403,1710.914065,1670.575592,1635.298165
A.217.24,A.217.141,1,A.215.,1,5367.696971,4664.528668,4296.715737,4053.475412,3874.327202,3733.845975,3619.052301,3522.470133,3439.420337,3366.790339
A.217.3,A.217.142,1,A.215.,1,59812.96368,51977.46544,47878.87687,45168.41747,43172.14506,41606.744,40327.58276,39251.35478,38325.91982,37516.59405
A.218A.13,A.211.,0.9,A.218A.,1,26182.86892,22752.9131,20958.77348,19772.28148,18898.42177,18213.17416,17653.2268,17182.11261,16777.00741,16422.72852
A.218A.141,A.218A.13,0.9,A.218A.,1,562491.4737,488805.0907,450261.2536,424771.6238,405998.3322,391277.0294,379247.5755,369126.5411,360423.5903,352812.5506
A.218A.142,A.218A.141,0.5,A.218A.,1,57069.90232,49593.74512,45683.12048,43096.96451,41192.24244,39698.63169,38478.13362,37451.26216,36568.26824,35796.05868
A.218A.145,A.218A.141,0.9,A.218A.,1,2552.647388,2218.25058,2043.334462,1927.659754,1842.464518,1775.657648,1721.06668,1675.136326,1635.641391,1601.101666
A.218A.146,A.218A.141,0.9,A.218A.,1,44024.05085,38256.90019,35240.22185,33245.24626,31775.93271,30623.75279,29682.25356,28890.119,28208.97242,27613.28552
